Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Tyrod Taylor*\tyrod-taylor-1,Virginia Tech,ACC,13,136,243,56.0,2311,9.5,9.7,13,5,149.4,106,370,3.5,5
2,Nathan Enderle*\nathan-enderle-1,Idaho,WAC,11,192,312,61.5,2906,9.3,9.4,22,9,157.3,41,-55,-1.3,0
3,Tim Tebow*\tim-tebow-1,Florida,SEC,14,213,314,67.8,2895,9.2,9.8,21,5,164.2,217,910,4.2,14
4,Ryan Mallett*\ryan-mallett-1,Arkansas,SEC,13,225,403,55.8,3624,9.0,9.7,30,7,152.5,58,-29,-0.5,2
5,Andrew Luck*\andrew-luck-1,Stanford,Pac-10,12,162,288,56.3,2575,8.9,9.2,13,4,143.5,61,354,5.8,2
6,Jimmy Clausen\jimmy-clausen-1,Notre Dame,Ind,12,289,425,68.0,3722,8.8,9.7,28,4,161.4,59,-95,-1.6,3
7,Max Hall*\max-hall-1,Brigham Young,MWC,13,275,409,67.2,3560,8.7,8.8,33,14,160.1,72,75,1.0,2
8,B.J. Daniels*\bj-daniels-1,South Florida,Big East,13,122,227,53.7,1983,8.7,8.2,14,9,139.5,175,772,4.4,9
9,Andy Dalton*\andy-dalton-1,Texas Christian,MWC,13,199,323,61.6,2756,8.5,8.8,23,8,151.8,116,512,4.4,3
10,Joe Webb\joe-webb-2,UAB,CUSA,12,162,271,59.8,2299,8.5,8.7,21,8,150.7,227,1427,6.3,11
11,Levi Brown*\levi-brown-1,Troy,Sun Belt,13,321,504,63.7,4254,8.4,8.5,23,9,146.1,54,7,0.1,1
12,Jacory Harris*\jacory-harris-1,Miami (FL),ACC,13,242,406,59.6,3352,8.3,7.6,24,17,140.1,48,-219,-4.6,1
13,Ryan Colburn*\ryan-colburn-1,Fresno State,WAC,13,181,298,60.7,2459,8.3,7.9,19,11,143.7,66,171,2.6,2
14,Trey Revell\trey-revell-1,Louisiana-Monroe,Sun Belt,10,121,210,57.6,1739,8.3,6.9,12,12,134.6,95,354,3.7,5
15,Kellen Moore*\kellen-moore-1,Boise State,WAC,14,277,431,64.3,3536,8.2,9.7,39,3,161.7,24,-5,-0.2,1
16,Scott Tolzien*\scott-tolzien-1,Wisconsin,Big Ten,13,211,328,64.3,2705,8.2,7.7,16,11,143.0,54,8,0.1,2
17,Kirk Cousins*\kirk-cousins-1,Michigan State,Big Ten,13,198,328,60.4,2680,8.2,8.1,19,9,142.6,31,60,1.9,0
18,Bill Stull*\bill-stull-1,Pitt,Big East,13,209,321,65.1,2633,8.2,8.4,21,8,150.6,32,-51,-1.6,2
19,Case Keenum*\case-keenum-1,Houston,CUSA,14,492,700,70.3,5671,8.1,8.4,44,15,154.8,60,158,2.6,4
20,Blaine Gabbert*\blaine-gabbert-1,Missouri,Big 12,13,262,445,58.9,3593,8.1,8.2,24,9,140.5,103,204,2.0,3
21,Trevor Vittatoe\trevor-vittatoe-1,UTEP,CUSA,12,224,409,54.8,3308,8.1,7.5,17,13,130.1,45,-83,-1.8,0
22,Martevious Young*\martevious-young-1,Southern Mississippi,CUSA,10,132,230,57.4,1861,8.1,8.9,16,3,145.7,72,294,4.1,1
23,Russell Wilson\russell-wilson-1,North Carolina State,ACC,12,224,378,59.3,3027,8.0,8.3,31,11,147.8,103,260,2.5,4
24,Chris Todd*\chris-todd-1,Auburn,SEC,13,198,328,60.4,2612,8.0,8.5,22,6,145.7,44,-116,-2.6,0
25,Ricky Stanzi*\ricky-stanzi-1,Iowa,Big Ten,11,171,304,56.3,2417,8.0,6.8,17,15,131.6,55,-31,-0.6,0
26,Riley Skinner\riley-skinner-1,Wake Forest,ACC,12,264,400,66.0,3160,7.9,7.9,26,12,147.8,70,56,0.8,2
27,Daryll Clark*\daryll-clark-1,Penn State,Big Ten,13,232,381,60.9,3003,7.9,8.0,24,10,142.6,84,211,2.5,7
28,Diondre Borel\diondre-borel-1,Utah State,WAC,12,214,366,58.5,2885,7.9,8.3,17,4,137.8,173,458,2.6,6
29,G.J. Kinne\gj-kinne-1,Tulsa,CUSA,12,210,345,60.9,2732,7.9,7.9,22,10,142.6,151,393,2.6,5
30,Matt Barkley*\matt-barkley-1,USC,Pac-10,12,211,352,59.9,2735,7.8,6.8,15,14,131.3,45,-38,-0.8,2
31,Joe Cox*\joe-cox-1,Georgia,SEC,13,185,331,55.9,2584,7.8,7.2,24,15,136.3,31,-28,-0.9,0
32,Tom Savage*\tom-savage-1,Rutgers,Big East,12,149,285,52.3,2211,7.8,7.6,14,7,128.7,59,-105,-1.8,1
33,Greg McElroy*\greg-mcelroy-1,Alabama,SEC,14,198,325,60.9,2508,7.7,8.2,17,4,140.5,54,83,1.5,1
34,Aaron Opelt\aaron-opelt-1,Toledo,MAC,9,154,261,59.0,1997,7.7,7.2,16,10,135.8,30,164,5.5,3
35,Terrance Cain*\terrance-cain-1,Utah,MWC,12,137,215,63.7,1624,7.6,7.5,11,5,139.4,87,318,3.7,2
36,Colt McCoy*\colt-mccoy-1,Texas,Big 12,14,332,470,70.6,3521,7.5,7.5,27,12,147.4,129,348,2.7,3
37,Dan Lefevour*\dan-lefevour-1,Central Michigan,MAC,14,318,456,69.7,3438,7.5,8.1,28,7,150.3,183,713,3.9,15
38,Kevin Riley*\kevin-riley-1,California,Pac-10,13,209,382,54.7,2850,7.5,7.5,18,8,128.7,82,51,0.6,1
39,Jevan Snead*\jevan-snead-1,Ole Miss,SEC,13,191,351,54.4,2632,7.5,6.1,20,20,124.8,52,101,1.9,3
40,Tony Pike*\tony-pike-1,Cincinnati,Big East,10,211,338,62.4,2520,7.5,8.4,29,6,149.8,31,6,0.2,2
41,Bryant Moniz\bryant-moniz-1,Hawaii,WAC,10,182,319,57.1,2396,7.5,7.0,14,10,128.4,58,117,2.0,1
42,Grant Stucker\grant-stucker-1,Colorado State,MWC,11,133,251,53.0,1874,7.5,6.3,12,12,121.9,38,9,0.2,2
43,Chandler Harnish*\chandler-harnish-1,Northern Illinois,MAC,10,143,223,64.1,1670,7.5,7.3,11,6,137.9,89,229,2.6,2
44,Jeff Van Camp\jeff-van-camp-1,Florida Atlantic,Sun Belt,10,109,184,59.2,1372,7.5,8.3,12,2,141.2,35,19,0.5,3
45,Thaddeus Lewis\thaddeus-lewis-2,Duke,ACC,12,274,449,61.0,3330,7.4,7.5,20,8,134.5,86,48,0.6,4
46,Brett Hodges*\brett-hodges-1,UCF,CUSA,12,197,329,59.9,2438,7.4,6.7,17,13,131.3,59,-18,-0.3,1
47,Todd Reesing\todd-reesing-1,Kansas,Big 12,12,313,496,63.1,3616,7.3,7.3,22,10,134.9,104,119,1.1,6
48,Taylor Potts*\taylor-potts-1,Texas Tech,Big 12,12,309,470,65.7,3440,7.3,7.0,22,13,137.1,24,-166,-6.9,2
49,Sean Canfield*\sean-canfield-1,Oregon State,Pac-10,13,303,446,67.9,3271,7.3,7.6,21,7,141.9,48,-160,-3.3,2
50,Jonathan Crompton*\jonathan-crompton-1,Tennessee,SEC,13,224,384,58.3,2800,7.3,7.2,27,13,136.0,44,-52,-1.2,1
51,Jordan Jefferson*\jordan-jefferson-1,LSU,SEC,12,182,296,61.5,2166,7.3,7.4,17,7,137.2,112,171,1.5,1
52,Spencer Keith\spencer-keith-1,Kent State,MAC,10,168,294,57.1,2147,7.3,6.6,14,11,126.7,42,84,2.0,1
53,Colin Kaepernick*\colin-kaepernick-1,Nevada,WAC,13,166,282,58.9,2052,7.3,7.7,20,6,139.1,161,1183,7.3,16
54,Tate Forcier\tate-forcier-1,Michigan,Big Ten,12,165,281,58.7,2050,7.3,6.6,13,10,128.1,118,240,2.0,3
55,Jerrod Johnson*\jerrod-johnson-1,Texas A&M,Big 12,13,296,497,59.6,3579,7.2,7.7,30,8,136.7,145,506,3.5,8
56,Jarrett Brown*\jarrett-brown-1,West Virginia,Big East,13,187,296,63.2,2144,7.2,6.6,11,9,130.2,117,466,4.0,6
57,Ross Jenkins\ross-jenkins-1,Louisiana Tech,WAC,12,172,290,59.3,2095,7.2,7.6,17,5,135.9,79,73,0.9,2
58,Juice Williams\juice-williams-1,Illinois,Big Ten,11,131,227,57.7,1632,7.2,6.9,12,7,129.4,143,507,3.5,4
59,Landry Jones*\landry-jones-1,Oklahoma,Big 12,13,261,449,58.1,3198,7.1,6.9,26,14,130.8,35,-113,-3.2,0
60,Jake Locker\jake-locker-1,Washington,Pac-10,12,230,394,58.4,2800,7.1,6.9,21,11,130.1,112,388,3.5,7
61,Zach Maynard\zach-maynard-1,Buffalo,MAC,12,218,379,57.5,2694,7.1,6.3,18,15,125.0,87,300,3.4,1
62,Zac Lee*\zac-lee-1,Nebraska,Big 12,13,177,302,58.6,2143,7.1,6.5,14,10,126.9,103,171,1.7,1
63,Terrelle Pryor*\terrelle-pryor-1,Ohio State,Big Ten,13,167,295,56.6,2094,7.1,6.6,18,11,128.9,162,779,4.8,7
64,Dave Shinskie*\dave-shinskie-1,Boston College,ACC,13,149,288,51.7,2049,7.1,6.0,15,14,119.0,30,-74,-2.5,1
65,Greg Paulus\greg-paulus-1,Syracuse,Big East,12,193,285,67.7,2024,7.1,5.8,13,14,132.6,51,-12,-0.2,1
66,Tyler Sheehan*\tyler-sheehan-1,Bowling Green State,MAC,13,373,575,64.9,4051,7.0,7.4,27,7,137.1,73,-8,-0.1,4
67,Mike Kafka*\mike-kafka-1,Northwestern,Big Ten,13,319,492,64.8,3430,7.0,6.5,16,12,129.3,150,295,2.0,8
68,Ryan Lindley\ryan-lindley-1,San Diego State,MWC,12,239,437,54.7,3054,7.0,6.4,23,16,123.4,22,-131,-6.0,1
69,Joey Elliott\joey-elliott-1,Purdue,Big Ten,12,267,433,61.7,3026,7.0,6.7,22,13,131.1,87,268,3.1,4
70,Dwight Dasher*\dwight-dasher-1,Middle Tennessee State,Sun Belt,13,219,399,54.9,2789,7.0,6.6,23,14,125.6,224,1154,5.2,13
71,Adam Weber*\adam-weber-1,Minnesota,Big Ten,13,191,367,52.0,2582,7.0,5.9,13,15,114.7,73,-133,-1.8,1
72,Jeremiah Masoli*\jeremiah-masoli-1,Oregon,Pac-10,12,177,305,58.0,2147,7.0,7.1,15,6,129.5,121,668,5.5,13
73,Ben Chappell\ben-chappell-1,Indiana,Big Ten,12,268,428,62.6,2941,6.9,6.1,17,15,126.4,41,-9,-0.2,3
74,Theo Scott*\theo-scott-1,Ohio,MAC,14,199,344,57.8,2369,6.9,6.6,20,11,128.5,78,120,1.5,3
75,Zac Robinson*\zac-robinson-1,Oklahoma State,Big 12,12,180,301,59.8,2084,6.9,6.1,15,12,126.4,111,305,2.7,4
76,Kyle Parker*\kyle-parker-1,Clemson,ACC,14,205,369,55.6,2526,6.8,6.5,20,12,124.4,61,135,2.2,1
77,Omar Clayton\omar-clayton-1,UNLV,MWC,11,196,326,60.1,2230,6.8,6.0,13,12,123.4,76,238,3.1,3
78,Chris Turner\chris-turner-1,Maryland,ACC,10,180,303,59.4,2069,6.8,6.0,10,10,121.1,84,22,0.3,2
79,Patrick Pinkney*\patrick-pinkney-1,East Carolina,CUSA,14,259,440,58.9,2947,6.7,6.2,15,12,120.9,48,81,1.7,3
80,Kevin Prince*\kevin-prince-1,UCLA,Pac-10,11,173,308,56.2,2050,6.7,6.0,8,8,115.5,68,179,2.6,1
81,Austen Arnaud*\austen-arnaud-1,Iowa State,Big 12,12,178,303,58.7,2015,6.7,5.6,14,13,121.3,147,561,3.8,8
82,Nick Florence\nick-florence-1,Baylor,Big 12,9,165,266,62.0,1786,6.7,5.6,6,9,119.1,57,62,1.1,3
83,Corey Leonard\corey-leonard-1,Arkansas State,Sun Belt,9,114,211,54.0,1416,6.7,6.1,7,6,115.7,72,174,2.4,0
84,Stephen Garcia*\stephen-garcia-1,South Carolina,SEC,13,239,432,55.3,2862,6.6,6.4,17,10,119.3,120,186,1.6,4
85,Brian Anderson*\brian-anderson-1,Marshall,CUSA,13,231,398,58.0,2646,6.6,5.9,14,13,119.0,64,20,0.3,1
86,Zac Dysert\zac-dysert-1,Miami (OH),MAC,11,247,401,61.6,2611,6.5,5.3,12,16,118.2,149,258,1.7,5
87,Chris Masson\chris-masson-1,Louisiana,Sun Belt,12,222,373,59.5,2406,6.5,6.0,10,8,118.3,62,192,3.1,6
88,Riley Dodge\riley-dodge-1,North Texas,Sun Belt,10,205,303,67.7,1975,6.5,4.9,9,15,122.3,104,463,4.5,5
89,Will Hudgens\will-hudgens-1,Memphis,CUSA,9,143,236,60.6,1544,6.5,6.0,7,6,120.3,16,-58,-3.6,1
90,Tyson Lee\tyson-lee-1,Mississippi State,SEC,12,130,221,58.8,1444,6.5,4.0,4,14,107.0,74,175,2.4,2
91,Vaughn Charlton*\vaughn-charlton-1,Temple,MAC,13,107,213,50.2,1390,6.5,5.1,10,11,110.2,31,-59,-1.9,1
92,Tim Hiller\tim-hiller-1,Western Michigan,MAC,12,309,514,60.1,3249,6.3,6.1,23,13,122.9,39,-101,-2.6,0
93,Paul McCall\paul-mccall-1,Florida International,Sun Belt,11,208,370,56.2,2343,6.3,6.1,14,8,117.6,76,14,0.2,2
94,Jordan La Secla\jordan-la-secla-1,San Jose State,WAC,12,182,304,59.9,1926,6.3,5.4,10,11,116.7,56,-110,-2.0,1
95,Jameel Sewell\jameel-sewell-1,Virginia,ACC,11,157,292,53.8,1848,6.3,5.7,7,7,110.0,136,167,1.2,7
96,Danny Sullivan\danny-sullivan-1,Arizona State,Pac-10,10,168,312,53.8,1939,6.2,5.6,10,9,110.9,28,-28,-1.0,3
97,Kawaun Jakes\kawaun-jakes-1,Western Kentucky,Sun Belt,11,148,244,60.7,1516,6.2,5.3,9,9,117.6,124,366,3.0,5
98,Ryan Griffin\ryan-griffin-2,Tulane,CUSA,9,141,222,63.5,1382,6.2,5.8,9,6,123.8,28,-59,-2.1,1
99,Nick Foles*\nick-foles-1,Arizona,Pac-10,12,260,410,63.4,2486,6.1,6.0,19,9,125.2,28,-74,-2.6,3
100,T.J. Yates*\tj-yates-1,North Carolina,ACC,13,214,355,60.3,2136,6.0,4.9,14,15,115.4,44,-66,-1.5,1
101,Austyn Carta-Samuels*\austyn-carta-samuels-1,Wyoming,MWC,13,191,326,58.6,1953,6.0,5.9,10,5,116.0,142,366,2.6,3
102,Nick Fanuzzi\nick-fanuzzi-1,Rice,CUSA,10,162,270,60.0,1598,5.9,5.4,11,8,117.2,38,-1,0.0,1
103,Donovan Porterie\donovan-porterie-1,New Mexico,MWC,12,249,432,57.6,2411,5.6,4.8,12,13,107.7,86,-33,-0.4,2
104,Larry Smith\larry-smith-1,Vanderbilt,SEC,9,106,227,46.7,1126,5.0,3.9,4,7,88.0,85,213,2.5,2
