Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Vernon Adams*\vernon-adams-1,Oregon,Pac-12,10,168,259,64.9,2643,10.2,11.2,26,6,179.1,83,147,1.8,2
2,Brandon Doughty*\brandon-doughty-1,Western Kentucky,CUSA,14,388,540,71.9,5055,9.4,10.4,48,9,176.5,27,-122,-4.5,1
3,Baker Mayfield*\baker-mayfield-1,Oklahoma,Big 12,13,269,395,68.1,3700,9.4,10.4,36,7,173.3,141,405,2.9,7
4,Kevin Hogan*\kevin-hogan-2,Stanford,Pac-12,14,206,304,67.8,2867,9.4,10.0,27,8,171.0,85,336,4.0,6
5,Brandon Allen*\brandon-allen-2,Arkansas,SEC,13,244,370,65.9,3440,9.3,9.9,30,8,166.5,55,110,2.0,1
6,Nick Arbuckle*\nick-arbuckle-1,Georgia State,Sun Belt,13,307,486,63.2,4368,9.0,9.0,28,12,152.7,61,-95,-1.6,6
7,Jeff Driskel*\jeff-driskel-1,Louisiana Tech,CUSA,13,279,448,62.3,4026,9.0,9.4,27,8,154.1,92,323,3.5,5
8,Trevone Boykin*\trevone-boykin-1,Texas Christian,Big 12,11,256,395,64.8,3574,9.0,9.5,31,10,161.6,123,612,5.0,9
9,Zach Terrell*\zach-terrell-1,Western Michigan,MAC,13,262,391,67.0,3522,9.0,9.5,29,9,162.5,77,107,1.4,3
10,Jared Goff*\jared-goff-1,California,Pac-12,13,341,529,64.5,4714,8.9,9.4,43,13,161.2,56,-8,-0.1,0
11,Dane Evans*\dane-evans-1,Tulsa,American,13,305,485,62.9,4332,8.9,9.2,25,8,151.6,96,-9,-0.1,2
12,Mason Rudolph*\mason-rudolph-1,Oklahoma State,Big 12,13,264,424,62.3,3770,8.9,8.9,21,9,149.1,67,-35,-0.5,1
13,Chad Kelly*\chad-kelly-1,Ole Miss,SEC,13,298,458,65.1,4042,8.8,8.9,31,13,155.9,106,509,4.8,10
14,Gunner Kiel*\gunner-kiel-1,Cincinnati,American,10,206,316,65.2,2777,8.8,8.4,19,11,151.9,32,27,0.8,2
15,Matt Johnson*\matt-johnson-3,Bowling Green State,MAC,14,383,569,67.3,4946,8.7,9.7,46,8,164.2,113,159,1.4,4
16,Nate Sudfeld*\nate-sudfeld-1,Indiana,Big Ten,12,247,412,60.0,3573,8.7,9.2,27,7,151.0,46,61,1.3,5
17,Nick Mullens*\nick-mullens-1,Southern Mississippi,CUSA,14,331,521,63.5,4476,8.6,9.0,38,12,155.2,43,-92,-2.1,3
18,Marquise Williams*\marquise-williams-1,North Carolina,ACC,14,218,356,61.2,3072,8.6,8.7,24,10,150.4,158,948,6.0,13
19,DeShone Kizer*\deshone-kizer-1,Notre Dame,Ind,13,210,334,62.9,2880,8.6,8.5,21,10,150.1,135,525,3.9,10
20,Paxton Lynch*\paxton-lynch-1,Memphis,American,13,296,443,66.8,3776,8.5,9.4,28,4,157.5,87,239,2.7,2
21,Deshaun Watson*\deshaun-watson-1,Clemson,ACC,15,333,491,67.8,4109,8.4,8.6,35,13,156.3,207,1105,5.3,12
22,Taylor Lamb*\taylor-lamb-1,Appalachian State,Sun Belt,13,167,280,59.6,2364,8.4,9.2,31,9,160.7,85,436,5.1,5
23,Brad Kaaya*\brad-kaaya-1,Miami (FL),ACC,12,238,389,61.2,3238,8.3,8.6,16,5,142.1,30,-119,-4.0,2
24,Quinton Flowers*\quinton-flowers-1,South Florida,American,13,162,275,58.9,2290,8.3,8.6,22,8,149.4,191,991,5.2,12
25,Brent Stockstill*\brent-stockstill-1,Middle Tennessee State,CUSA,13,326,489,66.7,3993,8.2,8.6,30,9,151.8,60,37,0.6,2
26,Greg Ward Jr.*\greg-ward-jr-1,Houston,American,14,231,345,67.0,2827,8.2,8.4,17,6,148.6,197,1114,5.7,21
27,Blake Decker\blake-decker-1,UNLV,MWC,9,120,209,57.4,1713,8.2,7.6,12,8,137.6,47,127,2.7,1
28,Patrick Mahomes*\patrick-mahomes-1,Texas Tech,Big 12,13,364,573,63.5,4653,8.1,8.2,36,15,147.2,131,456,3.5,10
29,Anu Solomon*\anu-solomon-1,Arizona,Pac-12,11,205,329,62.3,2655,8.1,8.6,20,5,147.1,67,198,3.0,3
30,Dak Prescott*\dak-prescott-1,Mississippi State,SEC,13,316,477,66.2,3793,8.0,8.7,29,5,151.0,160,588,3.7,10
31,Jake Browning*\jake-browning-1,Washington,Pac-12,12,233,369,63.1,2955,8.0,7.7,16,10,139.3,65,35,0.5,1
32,Cameron Coffman\cameron-coffman-1,Wyoming,MWC,9,152,241,63.1,1939,8.0,7.7,18,10,147.0,45,-118,-2.6,0
33,Cooper Rush*\cooper-rush-1,Central Michigan,MAC,13,324,489,66.3,3853,7.9,7.9,25,11,144.8,63,38,0.6,3
34,Cody Kessler*\cody-kessler-1,USC,Pac-12,14,298,446,66.8,3536,7.9,8.5,29,7,151.7,61,-149,-2.4,4
35,Jake Coker*\jake-coker-1,Alabama,SEC,15,263,393,66.9,3110,7.9,8.1,21,8,147.0,74,68,0.9,2
36,Brett Rypien*\brett-rypien-1,Boise State,MWC,11,272,428,63.6,3350,7.8,7.9,20,8,141.0,41,-77,-1.9,1
37,Skyler Howard*\skyler-howard-1,West Virginia,Big 12,13,221,403,54.8,3145,7.8,7.5,26,14,134.7,158,502,3.2,6
38,Jake Rudock*\jake-rudock-1,Michigan,Big Ten,13,249,389,64.0,3017,7.8,7.7,20,9,141.5,58,166,2.9,4
39,C.J. Beathard*\cj-beathard-1,Iowa,Big Ten,14,223,362,61.6,2809,7.8,8.1,17,5,139.5,100,237,2.4,6
40,Kyle Allen*\kyle-allen-1,Texas A&M,SEC,10,160,283,56.5,2210,7.8,7.9,17,7,137.0,65,102,1.6,2
41,Brandon Harris*\brandon-harris-4,LSU,SEC,12,149,277,53.8,2165,7.8,7.8,13,6,130.6,67,226,3.4,4
42,Connor Cook*\connor-cook-1,Michigan State,Big Ten,13,229,408,56.1,3131,7.7,8.1,24,7,136.6,52,56,1.1,0
43,Nick Stevens*\nick-stevens-1,Colorado State,MWC,13,210,346,60.7,2678,7.7,7.4,21,12,138.8,45,36,0.8,3
44,Greyson Lambert*\greyson-lambert-1,Georgia,SEC,12,162,256,63.3,1959,7.7,8.2,12,2,141.5,29,-39,-1.3,1
45,Tanner Mangum*\tanner-mangum-1,Brigham Young,Ind,13,267,446,59.9,3377,7.6,7.6,23,10,136.0,62,-85,-1.4,2
46,Matt Linehan\matt-linehan-1,Idaho,Sun Belt,11,246,390,63.1,2972,7.6,7.2,16,11,135.0,91,234,2.6,5
47,John Wolford\john-wolford-1,Wake Forest,ACC,11,142,235,60.4,1791,7.6,6.3,9,11,127.7,73,67,0.9,3
