Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Marcus Mariota*\marcus-mariota-1,Oregon,Pac-12,15,304,445,68.3,4454,10.0,11.5,42,4,181.7,135,770,5.7,15
2,Garrett Grayson*\garrett-grayson-1,Colorado State,MWC,13,270,420,64.3,4006,9.5,10.3,32,7,166.2,57,-46,-0.8,0
3,Zach Terrell*\zach-terrell-1,Western Michigan,MAC,13,250,368,67.9,3443,9.4,9.5,26,10,164.4,78,264,3.4,3
4,Bryce Petty*\bryce-petty-1,Baylor,Big 12,12,270,428,63.1,3855,9.0,9.6,29,7,157.8,84,101,1.2,6
5,J.T. Barrett*\jt-barrett-1,Ohio State,Big Ten,12,203,314,64.6,2834,9.0,9.8,34,10,169.8,171,938,5.5,11
6,Grant Hedrick*\grant-hedrick-1,Boise State,MWC,14,294,415,70.8,3696,8.9,8.5,23,14,157.2,155,592,3.8,8
7,Blake Sims*\blake-sims-2,Alabama,SEC,14,252,391,64.5,3487,8.9,9.2,28,10,157.9,83,350,4.2,7
8,Brandon Doughty*\brandon-doughty-1,Western Kentucky,CUSA,13,375,552,67.9,4830,8.8,9.7,49,10,167.1,39,-52,-1.3,2
9,Jake Waters*\jake-waters-1,Kansas State,Big 12,13,262,397,66.0,3501,8.8,9.1,22,7,154.8,154,484,3.1,9
10,Connor Cook*\connor-cook-1,Michigan State,Big Ten,13,212,365,58.1,3214,8.8,9.1,24,8,149.4,51,80,1.6,2
11,Rakeem Cato*\rakeem-cato-1,Marshall,CUSA,14,267,451,59.2,3903,8.7,9.1,40,13,155.4,94,482,5.1,8
12,Dak Prescott*\dak-prescott-1,Mississippi State,SEC,13,244,396,61.6,3449,8.7,8.8,27,11,151.7,210,986,4.7,14
13,Gary Nova*\gary-nova-1,Rutgers,Big Ten,13,187,327,57.2,2851,8.7,8.4,22,12,145.3,45,-5,-0.1,3
14,Driphus Jackson*\driphus-jackson-1,Rice,CUSA,13,191,331,57.7,2842,8.6,8.9,24,8,148.9,121,401,3.3,1
15,Nick Marshall*\nick-marshall-2,Auburn,SEC,13,178,293,60.8,2532,8.6,8.9,20,7,151.1,153,798,5.2,11
16,Cody Kessler*\cody-kessler-1,USC,Pac-12,13,315,452,69.7,3826,8.5,9.7,39,5,167.1,55,-152,-2.8,2
17,Brad Kaaya*\brad-kaaya-1,Miami (FL),ACC,13,221,378,58.5,3198,8.5,8.4,26,12,145.9,27,-131,-4.9,1
18,Jameis Winston*\jameis-winston-1,Florida State,ACC,13,305,467,65.3,3907,8.4,7.7,25,18,145.5,57,65,1.1,3
19,Bo Wallace*\bo-wallace-1,Ole Miss,SEC,13,229,381,60.1,3194,8.4,7.9,22,14,142.2,121,199,1.6,5
20,Gunner Kiel*\gunner-kiel-1,Cincinnati,American,13,233,390,59.7,3254,8.3,8.4,31,13,149.4,63,142,2.3,1
21,Cooper Rush*\cooper-rush-1,Central Michigan,MAC,13,243,382,63.6,3149,8.2,8.1,27,13,149.4,46,-51,-1.1,0
22,Everett Golson\everett-golson-1,Notre Dame,Ind,13,256,427,60.0,3445,8.1,8.0,29,14,143.6,114,283,2.5,8
23,Taylor Lamb\taylor-lamb-1,Appalachian State,Sun Belt,12,181,295,61.4,2381,8.1,7.9,17,9,142.1,78,483,6.2,4
24,Cody Clements\cody-clements-1,UAB,CUSA,11,183,276,66.3,2227,8.1,7.8,14,8,145.0,91,160,1.8,4
25,Brett Hundley*\brett-hundley-1,UCLA,Pac-12,13,271,392,69.1,3155,8.0,8.6,22,5,152.7,159,644,4.1,10
26,Trevone Boykin*\trevone-boykin-1,Texas Christian,Big 12,13,301,492,61.2,3901,7.9,8.4,33,10,145.9,152,707,4.7,8
27,Dylan Thompson*\dylan-thompson-1,South Carolina,SEC,13,270,451,59.9,3564,7.9,8.0,26,11,140.4,67,-72,-1.1,4
28,Kevin Hogan*\kevin-hogan-2,Stanford,Pac-12,13,232,352,65.9,2792,7.9,8.0,19,8,145.8,91,295,3.2,5
29,Jared Goff\jared-goff-1,California,Pac-12,12,316,509,62.1,3973,7.8,8.6,35,7,147.6,55,-44,-0.8,0
30,Clint Trickett*\clint-trickett-1,West Virginia,Big 12,11,281,419,67.1,3285,7.8,7.6,18,10,142.3,42,-106,-2.5,1
31,Tommy Armstrong Jr\tommy-armstrong-jr-1,Nebraska,Big Ten,13,184,345,53.3,2695,7.8,7.5,22,12,133.0,145,705,4.9,6
32,Chad Voytik*\chad-voytik-1,Pitt,ACC,13,176,287,61.3,2233,7.8,7.8,16,7,140.2,108,466,4.3,3
33,Hutson Mason*\hutson-mason-1,Georgia,SEC,13,188,277,67.9,2168,7.8,8.7,21,4,155.7,43,3,0.1,4
34,Shane Carden*\shane-carden-1,East Carolina,American,13,392,617,63.5,4736,7.7,7.9,30,10,140.8,96,76,0.8,6
