Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
35,Cody Sokol*\cody-sokol-1,Louisiana Tech,CUSA,14,260,448,58.0,3436,7.7,7.7,30,13,138.8,53,44,0.8,2
36,Blake Frohnapfel\blake-frohnapfel-1,Massachusetts,MAC,10,241,436,55.3,3345,7.7,7.7,23,10,132.5,41,-85,-2.1,0
37,Nick Arbuckle\nick-arbuckle-1,Georgia State,Sun Belt,12,259,429,60.4,3283,7.7,6.9,23,17,134.4,73,10,0.1,2
38,Joe Licata\joe-licata-1,Buffalo,MAC,11,224,345,64.9,2647,7.7,7.9,29,11,150.7,34,-6,-0.2,2
39,Taylor Heinicke\taylor-heinicke-1,Old Dominion,CUSA,12,289,457,63.2,3476,7.6,7.3,30,16,141.8,80,139,1.7,2
40,Fredi Knighten*\fredi-knighten-1,Arkansas State,Sun Belt,13,269,432,62.3,3277,7.6,8.0,24,7,141.1,211,779,3.7,11
41,Austin Grammer\austin-grammer-1,Middle Tennessee State,CUSA,12,221,338,65.4,2557,7.6,7.0,17,12,138.4,124,442,3.6,6
42,Logan Woodside*\logan-woodside-1,Toledo,MAC,12,185,296,62.5,2263,7.6,7.7,19,8,142.5,52,78,1.5,3
43,Taylor Kelly*\taylor-kelly-1,Arizona State,Pac-12,10,165,278,59.4,2114,7.6,8.4,22,5,145.7,95,256,2.7,3
44,Greg Ward Jr.*\greg-ward-jr-1,Houston,American,13,177,263,67.3,2010,7.6,7.4,12,7,141.2,118,573,4.9,6
45,Mitch Leidner*\mitch-leidner-1,Minnesota,Big Ten,12,122,237,51.5,1798,7.6,7.0,11,8,123.8,126,452,3.6,10
46,Justin Holman*\justin-holman-1,UCF,American,13,223,392,56.9,2952,7.5,7.1,23,14,132.4,112,189,1.7,3
47,Connor Halliday\connor-halliday-1,Washington State,Pac-12,9,354,526,67.3,3873,7.4,7.6,32,11,145.0,29,-131,-4.5,0
48,Colby Kirkegaard\colby-kirkegaard-1,Wyoming,MWC,12,206,359,57.4,2660,7.4,6.9,12,9,125.6,78,-110,-1.4,0
49,Paxton Lynch*\paxton-lynch-1,Memphis,American,13,259,413,62.7,3031,7.3,7.4,22,9,137.6,113,321,2.8,13
50,Cyler Miles*\cyler-miles-1,Washington,Pac-12,12,219,329,66.6,2397,7.3,7.8,17,4,142.4,118,307,2.6,4
51,Trevor Knight*\trevor-knight-1,Oklahoma,Big 12,10,179,316,56.6,2300,7.3,6.5,14,12,124.8,68,339,5.0,5
52,Andrew Hendrix\andrew-hendrix-1,Miami (OH),MAC,12,222,458,48.5,3280,7.2,7.3,23,9,121.3,157,324,2.1,6
53,Marquise Williams*\marquise-williams-1,North Carolina,ACC,13,270,428,63.1,3068,7.2,7.2,21,9,135.3,193,788,4.1,13
54,Blake Decker\blake-decker-1,UNLV,MWC,13,231,401,57.6,2881,7.2,5.9,15,18,121.3,147,366,2.5,5
55,Tyler Jones\tyler-jones-4,Texas State,Sun Belt,12,246,376,65.4,2670,7.1,7.4,22,7,140.7,166,539,3.2,6
56,Jake Rudock*\jake-rudock-1,Iowa,Big Ten,12,213,345,61.7,2436,7.1,7.3,16,5,133.5,67,176,2.6,3
57,Drew Hare*\drew-hare-1,Northern Illinois,MAC,14,194,326,59.5,2322,7.1,8.0,18,2,136.3,159,900,5.7,8
58,Tyler Murphy*\tyler-murphy-1,Boston College,ACC,13,131,230,57.0,1623,7.1,6.2,13,10,126.2,180,1179,6.6,11
59,Anthony Jennings*\anthony-jennings-1,LSU,SEC,13,111,227,48.9,1611,7.1,6.7,11,7,118.3,108,292,2.7,0
60,Anu Solomon*\anu-solomon-1,Arizona,Pac-12,14,313,540,58.0,3793,7.0,7.3,28,9,130.7,137,291,2.1,2
61,Sean Mannion\sean-mannion-1,Oregon State,Pac-12,12,282,453,62.3,3164,7.0,6.9,15,8,128.3,48,-306,-6.4,1
62,Jacoby Brissett*\jacoby-brissett-2,North Carolina State,ACC,13,221,370,59.7,2606,7.0,7.7,23,5,136.7,124,529,4.3,3
63,Joe Gray\joe-gray-1,San Jose State,MWC,11,210,330,63.6,2305,7.0,6.4,11,9,127.9,58,99,1.7,3
64,Jaquez Johnson\jaquez-johnson-1,Florida Atlantic,CUSA,11,182,315,57.8,2215,7.0,7.4,17,5,131.5,120,513,4.3,7
65,Quinn Kaehler*\quinn-kaehler-1,San Diego State,MWC,13,169,307,55.0,2157,7.0,5.9,9,12,115.9,26,-105,-4.0,0
66,Mike Cummings\mike-cummings-1,Kansas,Big 12,12,137,244,56.1,1715,7.0,6.7,9,6,122.4,67,23,0.3,4
67,Reggie Bell\reggie-bell-1,Eastern Michigan,MAC,10,105,184,57.1,1297,7.0,6.6,9,6,125.9,133,562,4.2,4
68,Patrick Towles\patrick-towles-1,Kentucky,SEC,12,225,393,57.3,2718,6.9,6.6,14,9,122.5,145,303,2.1,6
69,Travis Wilson*\travis-wilson-4,Utah,Pac-12,13,190,313,60.7,2170,6.9,7.4,18,5,134.7,114,309,2.7,5
70,Nick Mullens\nick-mullens-1,Southern Mississippi,CUSA,10,218,365,59.7,2470,6.8,6.3,12,9,122.5,49,39,0.8,0
71,Brandon Silvers\brandon-silvers-2,Troy,Sun Belt,11,191,271,70.5,1832,6.8,7.1,11,3,138.4,100,196,2.0,5
72,Mike White\mike-white-6,South Florida,American,11,122,242,50.4,1639,6.8,6.1,8,7,112.4,29,-85,-2.9,0
73,Chandler Whitmer\chandler-whitmer-1,Connecticut,American,12,124,224,55.4,1522,6.8,6.2,11,8,121.5,75,69,0.9,2
74,Dane Evans\dane-evans-1,Tulsa,American,12,256,462,55.4,3102,6.7,6.1,23,17,120.9,77,58,0.8,3
75,Matt Linehan\matt-linehan-1,Idaho,Sun Belt,11,221,379,58.3,2540,6.7,5.1,11,18,114.7,86,-66,-0.8,1
76,Terrance Broadway*\terrance-broadway-1,Louisiana,Sun Belt,13,216,342,63.2,2295,6.7,6.3,13,9,126.8,146,653,4.5,3
77,Brandon Allen*\brandon-allen-2,Arkansas,SEC,13,190,339,56.0,2285,6.7,7.3,20,5,129.2,42,0,0.0,2
78,Devin Gardner\devin-gardner-1,Michigan,Big Ten,12,174,283,61.5,1896,6.7,5.0,10,15,118.8,98,258,2.6,4
79,James Knapke*\james-knapke-1,Bowling Green State,MAC,13,280,483,58.0,3173,6.6,6.1,15,12,118.4,67,136,2.0,2
80,C.J. Brown*\cj-brown-1,Maryland,Big Ten,13,189,354,53.4,2288,6.5,5.9,13,10,114.2,161,539,3.3,8
81,Jameill Showers*\jameill-showers-1,UTEP,CUSA,13,159,286,55.6,1858,6.5,6.4,12,6,119.8,93,312,3.4,4
82,Reilly O'Toole*\reilly-otoole-1,Illinois,Big Ten,10,122,206,59.2,1344,6.5,5.7,10,8,122.3,95,263,2.8,1
83,Sefo Liufau\sefo-liufau-1,Colorado,Pac-12,12,325,498,65.3,3200,6.4,6.2,28,15,131.8,69,136,2.0,0
84,Tyler Rogers\tyler-rogers-1,New Mexico State,Sun Belt,12,268,436,61.5,2779,6.4,4.9,19,23,118.8,69,200,2.9,2
85,Maty Mauk*\maty-mauk-1,Missouri,SEC,14,221,414,53.4,2648,6.4,6.2,25,13,120.8,108,373,3.5,2
86,Andrew McNulty\andrew-mcnulty-1,North Texas,CUSA,10,110,202,54.5,1295,6.4,5.4,6,7,111.2,42,54,1.3,2
87,Pete Thomas\pete-thomas-1,Louisiana-Monroe,Sun Belt,12,301,501,60.1,3181,6.3,6.4,14,6,120.2,110,6,0.1,3
88,Tyrone Swoopes*\tyrone-swoopes-1,Texas,Big 12,12,224,384,58.3,2409,6.3,5.7,13,11,116.5,108,262,2.4,4
89,Brandon Bridge*\brandon-bridge-1,South Alabama,Sun Belt,11,160,307,52.1,1927,6.3,6.1,15,8,115.8,101,297,2.9,4
90,Cole Stoudt*\cole-stoudt-1,Clemson,ACC,13,191,302,63.2,1892,6.3,5.4,9,10,119.1,69,93,1.3,1
91,Greyson Lambert\greyson-lambert-1,Virginia,ACC,9,154,261,59.0,1632,6.3,5.1,10,11,115.7,35,-6,-0.2,2
92,Christian Hackenberg*\christian-hackenberg-1,Penn State,Big Ten,13,270,484,55.8,2977,6.2,5.3,12,15,109.4,93,-94,-1.0,0
93,Cody Fajardo*\cody-fajardo-1,Nevada,MWC,13,239,405,59.0,2498,6.2,5.8,18,11,120.1,177,1046,5.9,13
94,Colin Reardon\colin-reardon-1,Kent State,MAC,11,228,400,57.0,2466,6.2,5.1,14,16,112.3,59,148,2.5,2
95,Michael Brewer*\michael-brewer-2,Virginia Tech,ACC,13,262,441,59.4,2692,6.1,5.4,18,15,117.4,80,-5,-0.1,2
96,Brian Burrell*\brian-burrell-1,Fresno State,MWC,14,252,432,58.3,2620,6.1,5.2,22,18,117.8,110,360,3.3,3
97,Ikaika Woolsey\ikaika-woolsey-1,Hawaii,MWC,13,210,416,50.5,2538,6.1,5.3,13,13,105.8,110,203,1.8,1
98,P.J. Walker\pj-walker-1,Temple,American,12,203,381,53.3,2317,6.1,5.0,13,15,107.8,106,324,3.1,3
99,Alex McGough\alex-mcgough-1,Florida International,CUSA,12,138,274,50.4,1680,6.1,5.5,14,10,111.4,97,92,0.9,4
100,J.D. Sprague\jd-sprague-1,Ohio,MAC,10,98,202,48.5,1236,6.1,5.3,3,5,99.9,65,264,4.1,3
101,Anthony Boone*\anthony-boone-1,Duke,ACC,13,255,453,56.3,2700,6.0,6.0,19,8,116.7,94,375,4.0,5
102,Sam B. Richardson\sam-b-richardson-1,Iowa State,Big 12,11,254,451,56.3,2669,5.9,5.8,18,9,115.2,125,421,3.4,3
103,Tanner Lee\tanner-lee-1,Tulane,American,10,185,336,55.1,1962,5.8,4.7,12,14,107.6,36,-125,-3.5,0
104,Kyle Pohl\kyle-pohl-1,Akron,MAC,10,208,383,54.3,2189,5.7,5.2,9,8,105.9,46,18,0.4,1
105,Trevor Siemian\trevor-siemian-1,Northwestern,Big Ten,11,228,392,58.2,2214,5.6,4.7,7,11,105.9,68,-123,-1.8,5
106,John Wolford\john-wolford-1,Wake Forest,ACC,12,214,367,58.3,2037,5.6,4.5,12,14,108.1,104,-151,-1.5,0
107,Jeff Driskel*\jeff-driskel-1,Florida,SEC,9,114,212,53.8,1140,5.4,4.1,9,10,103.5,69,180,2.6,4
108,Austin Appleby\austin-appleby-1,Purdue,Big Ten,10,144,272,52.9,1449,5.3,4.2,10,11,101.7,61,198,3.2,5
