Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Cam Newton*\cam-newton-1,Auburn,SEC,14,185,280,66.1,2854,10.2,11.2,30,7,182.0,264,1473,5.6,20
2,Kellen Moore*\kellen-moore-1,Boise State,WAC,13,273,383,71.3,3845,10.0,11.2,35,6,182.6,19,-32,-1.7,1
3,Greg McElroy*\greg-mcelroy-1,Alabama,SEC,13,222,313,70.9,2987,9.5,10.1,20,5,169.0,60,-12,-0.2,1
4,Ryan Mallett*\ryan-mallett-1,Arkansas,SEC,13,266,411,64.7,3869,9.4,9.7,32,12,163.6,44,-74,-1.7,4
5,Scott Tolzien*\scott-tolzien-1,Wisconsin,Big Ten,13,194,266,72.9,2459,9.2,9.4,16,6,165.9,30,-30,-1.0,0
6,Bryant Moniz*\bryant-moniz-1,Hawaii,WAC,14,361,555,65.0,5040,9.1,9.3,39,15,159.1,81,102,1.3,4
7,Ryan Lindley*\ryan-lindley-1,San Diego State,MWC,13,243,421,57.7,3830,9.1,8.9,28,14,149.4,19,-31,-1.6,0
8,Jeff Godfrey*\jeff-godfrey-1,UCF,CUSA,14,159,238,66.8,2159,9.1,8.7,13,8,154.3,152,566,3.7,10
9,Andrew Luck*\andrew-luck-1,Stanford,Pac-10,13,263,372,70.7,3338,9.0,9.7,32,8,170.2,55,453,8.2,3
10,Andy Dalton*\andy-dalton-1,Texas Christian,MWC,13,209,316,66.1,2857,9.0,9.9,27,6,166.5,86,435,5.1,6
11,Aaron Murray*\aaron-murray-1,Georgia,SEC,13,209,342,61.1,3049,8.9,9.3,24,8,154.5,87,167,1.9,4
12,Stephen Garcia*\stephen-garcia-1,South Carolina,SEC,14,224,349,64.2,3059,8.8,8.1,20,14,148.7,105,222,2.1,6
13,Denard Robinson*\denard-robinson-1,Michigan,Big Ten,13,182,291,62.5,2570,8.8,8.4,18,11,149.6,256,1702,6.6,14
14,Ricky Stanzi*\ricky-stanzi-1,Iowa,Big Ten,13,221,345,64.1,3004,8.7,9.4,25,6,157.6,48,-6,-0.1,2
15,Tyrod Taylor*\tyrod-taylor-1,Virginia Tech,ACC,14,188,315,59.7,2743,8.7,9.5,24,5,154.8,146,659,4.5,5
16,Chandler Harnish*\chandler-harnish-1,Northern Illinois,MAC,13,189,292,64.7,2530,8.7,9.3,21,5,157.8,137,836,6.1,7
17,Terrelle Pryor*\terrelle-pryor-1,Ohio State,Big Ten,13,210,323,65.0,2772,8.6,8.7,27,11,157.9,135,754,5.6,4
18,Dan Persa*\dan-persa-1,Northwestern,Big Ten,10,222,302,73.5,2581,8.5,8.9,15,4,159.0,164,519,3.2,9
19,Brandon Weeden*\brandon-weeden-1,Oklahoma State,Big 12,13,342,511,66.9,4277,8.4,8.6,34,13,154.1,17,-68,-4.0,0
20,Colin Kaepernick*\colin-kaepernick-1,Nevada,WAC,14,233,359,64.9,3022,8.4,8.6,21,8,150.5,173,1206,7.0,20
21,Kirk Cousins*\kirk-cousins-1,Michigan State,Big Ten,13,226,338,66.9,2825,8.4,8.2,20,10,150.7,40,-136,-3.4,1
22,T.J. Yates*\tj-yates-1,North Carolina,ACC,13,282,422,66.8,3418,8.1,8.0,19,9,145.5,79,-77,-1.0,3
23,Chris Relf*\chris-relf-1,Mississippi State,SEC,13,129,220,58.6,1789,8.1,8.1,13,6,141.0,194,713,3.7,5
24,Darron Thomas*\darron-thomas-1,Oregon,Pac-10,13,222,361,61.5,2881,8.0,8.5,30,9,151.0,93,486,5.2,5
25,G.J. Kinne*\gj-kinne-1,Tulsa,CUSA,13,275,460,59.8,3650,7.9,8.3,31,10,144.3,158,561,3.6,7
26,Mike Hartline*\mike-hartline-1,Kentucky,SEC,12,268,405,66.2,3178,7.8,8.0,23,9,146.4,32,-35,-1.1,1
27,Ryan Colburn*\ryan-colburn-1,Fresno State,WAC,13,227,360,63.1,2817,7.8,8.0,23,9,144.9,95,75,0.8,3
28,Jordan Wynn*\jordan-wynn-1,Utah,MWC,10,186,299,62.2,2334,7.8,7.4,17,10,139.9,18,-11,-0.6,0
29,Carson Coffman*\carson-coffman-1,Kansas State,Big 12,12,171,263,65.0,2060,7.8,7.7,14,7,143.1,110,157,1.4,9
30,Robert Griffin III*\robert-griffin-iii-1,Baylor,Big 12,13,304,454,67.0,3501,7.7,7.9,22,8,144.2,149,635,4.3,8
31,Boo Jackson*\boo-jackson-1,Ohio,MAC,13,149,245,60.8,1897,7.7,6.1,18,17,136.2,132,345,2.6,7
32,Landry Jones*\landry-jones-1,Oklahoma,Big 12,14,405,617,65.6,4718,7.6,8.0,38,12,146.3,51,-128,-2.5,1
33,Zach Collaros\zach-collaros-1,Cincinnati,Big East,11,225,383,58.7,2902,7.6,7.3,26,14,137.5,121,202,1.7,4
34,Jeff Tuel\jeff-tuel-1,Washington State,Pac-10,12,219,366,59.8,2780,7.6,7.1,18,12,133.3,134,204,1.5,1
35,Kyle Padron*\kyle-padron-1,SMU,CUSA,14,302,508,59.4,3828,7.5,7.5,31,14,137.4,104,244,2.3,4
36,Nick Foles*\nick-foles-1,Arizona,Pac-10,11,286,426,67.1,3191,7.5,7.4,20,10,140.9,35,-113,-3.2,1
37,Steven Threet\steven-threet-1,Arizona State,Pac-10,11,208,336,61.9,2534,7.5,6.5,18,16,133.4,59,19,0.3,2
38,Matt Simms*\matt-simms-1,Tennessee,SEC,11,113,195,57.9,1460,7.5,7.2,8,5,129.3,45,-108,-2.4,1
39,Corey Robinson*\corey-robinson-1,Troy,Sun Belt,13,321,505,63.6,3726,7.4,7.2,28,15,137.9,48,-100,-2.1,0
40,Matt Barkley\matt-barkley-1,USC,Pac-10,12,236,377,62.6,2791,7.4,7.4,26,12,141.2,34,-17,-0.5,2
41,Geno Smith*\geno-smith-1,West Virginia,Big East,13,241,372,64.8,2763,7.4,7.9,24,7,144.7,106,217,2.0,0
42,Tino Sunseri*\tino-sunseri-1,Pitt,Big East,13,223,346,64.5,2572,7.4,7.2,16,9,137.0,53,108,2.0,2
43,Alex Carder\alex-carder-1,Western Michigan,MAC,12,289,458,63.1,3334,7.3,7.4,30,12,140.6,109,226,2.1,6
44,Jordan La Secla\jordan-la-secla-1,San Jose State,WAC,13,231,391,59.1,2860,7.3,6.3,16,16,125.8,69,-9,-0.1,1
45,Adam Weber\adam-weber-1,Minnesota,Big Ten,12,205,368,55.7,2679,7.3,7.3,20,9,129.9,52,156,3.0,0
46,Jeff Van Camp\jeff-van-camp-1,Florida Atlantic,Sun Belt,12,192,335,57.3,2459,7.3,6.6,17,13,128.0,55,-189,-3.4,0
47,Chas Dodd\chas-dodd-1,Rutgers,Big East,11,123,223,55.2,1637,7.3,6.9,11,7,126.8,62,-253,-4.1,0
48,Ryan Radcliff\ryan-radcliff-1,Central Michigan,MAC,12,282,466,60.5,3358,7.2,6.3,17,17,125.8,66,-99,-1.5,1
49,Bryan Ellis\bryan-ellis-1,UAB,CUSA,11,231,411,56.2,2940,7.2,7.1,25,12,130.5,25,29,1.2,2
50,Ryan Aplin\ryan-aplin-1,Arkansas State,Sun Belt,12,252,410,61.5,2939,7.2,7.0,21,11,133.2,138,477,3.5,11
51,Danny O'Brien*\danny-obrien-1,Maryland,ACC,13,192,337,57.0,2438,7.2,7.5,22,8,134.5,31,-48,-1.5,1
52,Ryan Williams\ryan-williams-7,Memphis,CUSA,12,165,290,56.9,2075,7.2,6.5,13,10,124.9,48,-174,-3.6,0
53,Marc Verica\marc-verica-1,Virginia,ACC,12,233,396,58.8,2799,7.1,6.2,14,14,122.8,42,-47,-1.1,0
54,Wesley Carroll*\wesley-carroll-1,Florida International,Sun Belt,13,226,367,61.6,2623,7.1,6.3,16,14,128.4,57,-8,-0.1,1
55,Alex Gillett\alex-gillett-1,Eastern Michigan,MAC,12,127,229,55.5,1633,7.1,5.7,13,13,122.7,179,766,4.3,5
56,Austin Davis*\austin-davis-1,Southern Mississippi,CUSA,13,278,442,62.9,3103,7.0,7.3,20,6,134.1,145,452,3.1,10
57,Zac Dysert*\zac-dysert-1,Miami (OH),MAC,11,222,343,64.7,2406,7.0,6.2,13,12,129.2,79,27,0.3,1
58,Nick Fanuzzi\nick-fanuzzi-1,Rice,CUSA,10,151,241,62.7,1681,7.0,6.2,11,9,128.8,65,13,0.2,0
59,Ryan Tannehill*\ryan-tannehill-1,Texas A&M,Big 12,13,152,234,65.0,1638,7.0,7.0,13,6,137.0,51,76,1.5,1
60,Nathan Enderle\nathan-enderle-1,Idaho,WAC,13,271,478,56.7,3314,6.9,6.3,22,16,123.4,59,-197,-3.3,1
61,Jeremiah Masoli\jeremiah-masoli-1,Ole Miss,SEC,12,167,296,56.4,2039,6.9,5.9,14,13,121.1,121,544,4.5,6
62,Nathan Scheelhaase*\nathan-scheelhaase-1,Illinois,Big Ten,13,155,264,58.7,1825,6.9,6.8,17,8,132.0,185,868,4.7,5
63,B.J. Daniels*\bj-daniels-1,South Florida,Big East,12,143,245,58.4,1685,6.9,5.4,11,13,120.3,112,259,2.3,5
64,Taylor Potts*\taylor-potts-1,Texas Tech,Big 12,13,369,551,67.0,3726,6.8,7.2,35,10,141.1,33,4,0.1,2
65,Russell Wilson*\russell-wilson-1,North Carolina State,ACC,13,308,527,58.4,3563,6.8,6.6,28,14,127.5,143,435,3.0,9
66,Ben Chappell\ben-chappell-1,Indiana,Big Ten,12,302,483,62.5,3295,6.8,7.0,24,9,132.5,47,14,0.3,3
67,Trevor Vittatoe*\trevor-vittatoe-1,UTEP,CUSA,13,220,407,54.1,2756,6.8,6.4,22,13,122.4,55,98,1.8,0
68,Pete Thomas\pete-thomas-1,Colorado State,MWC,12,253,391,64.7,2662,6.8,5.9,11,13,124.5,77,-117,-1.5,0
69,Kolton Browning\kolton-browning-1,Louisiana-Monroe,Sun Belt,12,234,378,61.9,2552,6.8,6.3,18,12,128.0,171,385,2.3,4
70,Ryan Katz\ryan-katz-1,Oregon State,Pac-10,12,213,355,60.0,2401,6.8,6.4,18,11,127.3,78,14,0.2,2
71,Jake Locker*\jake-locker-1,Washington,Pac-10,12,184,332,55.4,2265,6.8,6.6,17,9,124.2,114,385,3.4,6
72,Christian Ponder*\christian-ponder-1,Florida State,ACC,12,184,299,61.5,2044,6.8,7.0,20,8,135.7,100,180,1.8,4
73,Austyn Carta-Samuels\austyn-carta-samuels-1,Wyoming,MWC,11,154,252,61.1,1702,6.8,6.0,9,8,123.3,117,392,3.4,3
74,Jordan Jefferson*\jordan-jefferson-1,LSU,SEC,13,118,209,56.5,1411,6.8,5.3,7,10,114.7,123,450,3.7,7
75,Blaine Gabbert*\blaine-gabbert-1,Missouri,Big 12,13,301,475,63.4,3186,6.7,6.5,16,9,127.0,112,232,2.1,5
76,Sean Renfree\sean-renfree-1,Duke,ACC,12,285,464,61.4,3131,6.7,5.7,14,17,120.7,51,-47,-0.9,4
77,Diondre Borel\diondre-borel-1,Utah State,WAC,12,167,314,53.2,2108,6.7,5.4,8,13,109.7,142,298,2.1,7
78,Cody Hawkins\cody-hawkins-1,Colorado,Big 12,12,124,231,53.7,1547,6.7,6.9,14,5,125.6,9,-32,-3.6,0
79,Chris Masson\chris-masson-1,Louisiana,Sun Belt,9,148,280,52.9,1842,6.6,6.4,11,6,116.8,47,24,0.5,1
80,Jacory Harris*\jacory-harris-1,Miami (FL),ACC,10,148,270,54.8,1793,6.6,5.2,14,15,116.6,29,27,0.9,2
81,Dominique Davis*\dominique-davis-1,East Carolina,CUSA,13,393,609,64.5,3967,6.5,6.5,37,16,134.0,79,141,1.8,9
82,Ryan Nassib*\ryan-nassib-1,Syracuse,Big East,13,202,358,56.4,2334,6.5,6.6,19,8,124.2,66,-39,-0.6,1
83,Kyle Parker*\kyle-parker-1,Clemson,ACC,13,196,341,57.5,2213,6.5,5.7,12,11,117.2,47,28,0.6,0
84,Ryan Griffin\ryan-griffin-2,Tulane,CUSA,11,223,372,59.9,2371,6.4,6.2,14,8,121.6,39,-146,-3.7,0
85,Omar Clayton\omar-clayton-1,UNLV,MWC,13,158,283,55.8,1818,6.4,5.9,13,9,118.6,97,194,2.0,1
86,Ross Jenkins\ross-jenkins-1,Louisiana Tech,WAC,11,172,274,62.8,1760,6.4,6.3,12,6,126.8,55,108,2.0,4
87,John Brantley*\john-brantley-1,Florida,SEC,13,200,329,60.8,2061,6.3,5.4,9,10,116.4,52,-111,-2.1,0
88,Garrett Gilbert\garrett-gilbert-1,Texas,Big 12,12,260,441,59.0,2744,6.2,4.9,10,17,111.0,100,380,3.8,5
89,Brian Anderson\brian-anderson-1,Marshall,CUSA,12,218,384,56.8,2358,6.1,5.4,20,15,117.7,47,90,1.9,0
90,Spencer Keith\spencer-keith-1,Kent State,MAC,12,215,364,59.1,2212,6.1,5.2,8,11,111.3,59,18,0.3,3
91,Richard Brehaut\richard-brehaut-1,UCLA,Pac-10,9,119,212,56.1,1296,6.1,5.2,6,7,110.2,57,61,1.1,4
92,Jake Heaps*\jake-heaps-1,Brigham Young,MWC,13,219,383,57.2,2316,6.0,5.8,15,9,116.2,34,-100,-2.9,1
93,Matt Schilz\matt-schilz-1,Bowling Green State,MAC,10,229,377,60.7,2223,5.9,4.6,8,14,109.8,50,-143,-2.9,3
94,Jerry Davis\jerry-davis-1,Buffalo,MAC,10,142,298,47.7,1753,5.9,4.5,16,16,104.0,96,236,2.5,0
95,Austen Arnaud\austen-arnaud-1,Iowa State,Big 12,11,171,290,59.0,1703,5.9,5.2,13,10,116.2,103,287,2.8,2
96,Kawaun Jakes\kawaun-jakes-1,Western Kentucky,Sun Belt,12,149,291,51.2,1680,5.8,5.5,10,6,106.9,96,200,2.1,4
97,Keith Wenning\keith-wenning-1,Ball State,MAC,12,128,235,54.5,1373,5.8,4.4,14,14,111.3,32,-3,-0.1,2
98,Tanner Price\tanner-price-1,Wake Forest,ACC,11,137,241,56.8,1349,5.6,4.7,7,8,106.8,75,120,1.6,4
99,Jordan Webb\jordan-webb-1,Kansas,Big 12,9,121,214,56.5,1195,5.6,4.6,7,8,106.8,59,84,1.4,0
100,Zach Frazer*\zach-frazer-1,Connecticut,Big East,11,136,261,52.1,1425,5.5,4.8,5,6,99.7,29,14,0.5,0
101,Patrick Nicely\patrick-nicely-1,Akron,MAC,12,166,336,49.4,1753,5.2,4.1,10,13,95.3,61,-125,-2.0,1
102,Larry Smith\larry-smith-1,Vanderbilt,SEC,11,117,247,47.4,1262,5.1,4.7,6,5,94.3,105,248,2.4,4
