Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Robert Griffin III*\robert-griffin-iii-1,Baylor,Big 12,13,291,402,72.4,4293,10.7,11.8,37,6,189.5,179,699,3.9,10
2,Russell Wilson*\russell-wilson-1,Wisconsin,Big Ten,14,225,309,72.8,3175,10.3,11.8,33,4,191.8,79,338,4.3,6
3,Case Keenum*\case-keenum-1,Houston,CUSA,14,428,603,71.0,5631,9.3,10.6,48,5,174.0,57,35,0.6,3
4,Bryn Renner*\bryn-renner-1,North Carolina,ACC,13,239,350,68.3,3086,8.8,8.6,26,13,159.4,57,-88,-1.5,1
5,Terrance Owens*\terrance-owens-1,Toledo,MAC,12,166,230,72.2,2022,8.8,9.8,18,3,169.2,41,209,5.1,1
6,Kellen Moore*\kellen-moore-1,Boise State,MWC,13,326,439,74.3,3800,8.7,9.7,43,9,175.2,20,-66,-3.3,0
7,Andrew Luck*\andrew-luck-1,Stanford,Pac-12,13,288,404,71.3,3517,8.7,9.4,37,10,169.7,47,150,3.2,2
8,Blaine Gautier*\blaine-gautier-1,Louisiana,Sun Belt,13,216,344,62.8,2958,8.6,9.2,23,6,153.6,118,486,4.1,3
9,E.J. Manuel*\ej-manuel-1,Florida State,ACC,12,203,311,65.3,2666,8.6,8.6,18,8,151.2,110,151,1.4,4
10,Keith Price*\keith-price-1,Washington,Pac-12,13,242,362,66.9,3063,8.5,8.9,33,11,161.9,56,10,0.2,3
11,Casey Pachall*\casey-pachall-1,Texas Christian,MWC,13,228,343,66.5,2921,8.5,9.1,25,7,158.0,68,51,0.8,2
12,John Brantley*\john-brantley-1,Florida,SEC,11,144,240,60.0,2044,8.5,8.1,11,7,140.8,25,-120,-4.8,0
13,Riley Nelson*\riley-nelson-1,Brigham Young,Ind,12,116,202,57.4,1717,8.5,8.8,19,7,152.9,88,392,4.5,1
14,Brandon Weeden*\brandon-weeden-1,Oklahoma State,Big 12,13,409,565,72.4,4727,8.4,8.6,37,13,159.7,17,-102,-6.0,1
