Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
15,Chandler Harnish*\chandler-harnish-1,Northern Illinois,MAC,14,237,384,61.7,3216,8.4,9.1,28,6,153.0,194,1379,7.1,11
16,Denard Robinson*\denard-robinson-1,Michigan,Big Ten,13,142,258,55.0,2173,8.4,7.4,20,15,139.7,221,1176,5.3,16
17,Geno Smith*\geno-smith-1,West Virginia,Big East,13,346,526,65.8,4385,8.3,8.9,31,7,152.6,56,-33,-0.6,2
18,Tyler Wilson*\tyler-wilson-1,Arkansas,SEC,13,277,438,63.2,3638,8.3,8.8,24,6,148.4,60,-3,-0.1,4
19,Jacory Harris\jacory-harris-1,Miami (FL),ACC,11,195,300,65.0,2486,8.3,8.3,20,9,150.6,53,88,1.7,0
20,Jeff Godfrey\jeff-godfrey-1,UCF,CUSA,12,160,232,69.0,1898,8.2,7.6,5,5,140.5,111,405,3.6,9
21,Kevin Prince*\kevin-prince-1,UCLA,Pac-12,11,126,224,56.3,1828,8.2,7.6,12,8,135.3,120,424,3.5,1
22,Darron Thomas*\darron-thomas-1,Oregon,Pac-12,13,211,339,62.2,2761,8.1,9.2,33,7,158.7,56,206,3.7,3
23,Tyler Tettleton*\tyler-tettleton-1,Ohio,MAC,14,265,413,64.2,3306,8.0,8.3,28,10,148.9,167,666,4.0,10
24,A.J. McCarron*\aj-mccarron-1,Alabama,SEC,13,219,328,66.8,2634,8.0,8.3,16,5,147.3,30,-22,-0.7,2
25,Dan Persa*\dan-persa-1,Northwestern,Big Ten,10,218,297,73.4,2376,8.0,8.1,17,7,154.8,79,32,0.4,1
26,Landry Jones*\landry-jones-1,Oklahoma,Big 12,13,355,562,63.2,4463,7.9,7.8,29,15,141.6,32,-24,-0.8,2
27,Derek Carr\derek-carr-1,Fresno State,WAC,13,279,446,62.6,3544,7.9,8.2,26,9,144.5,57,72,1.3,3
28,Matt Barkley\matt-barkley-1,USC,Pac-12,12,308,446,69.1,3528,7.9,9.0,39,7,161.2,28,14,0.5,2
29,Kirk Cousins*\kirk-cousins-1,Michigan State,Big Ten,14,267,419,63.7,3316,7.9,8.0,25,10,145.1,37,-39,-1.1,0
30,G.J. Kinne*\gj-kinne-1,Tulsa,CUSA,13,247,390,63.3,3090,7.9,8.0,28,12,147.4,125,405,3.2,3
31,Brock Osweiler*\brock-osweiler-1,Arizona State,Pac-12,13,326,516,63.2,4036,7.8,7.7,26,13,140.5,83,90,1.1,3
32,Zac Dysert\zac-dysert-1,Miami (OH),MAC,12,295,448,65.8,3513,7.8,7.8,23,11,143.7,125,115,0.9,4
33,Aaron Murray*\aaron-murray-1,Georgia,SEC,14,238,403,59.1,3149,7.8,8.0,35,14,146.4,87,111,1.3,2
34,Cody Fajardo*\cody-fajardo-1,Nevada,WAC,10,150,218,68.8,1707,7.8,7.1,6,6,138.2,128,694,5.4,11
35,Nick Foles\nick-foles-1,Arizona,Pac-12,12,387,560,69.1,4334,7.7,7.6,28,14,145.6,43,-103,-2.4,0
36,Alex Carder*\alex-carder-1,Western Michigan,MAC,12,330,502,65.7,3873,7.7,7.7,31,14,145.3,128,270,2.1,4
37,Tajh Boyd*\tajh-boyd-1,Clemson,ACC,14,298,499,59.7,3828,7.7,7.9,33,12,141.2,142,218,1.5,5
38,Logan Thomas*\logan-thomas-1,Virginia Tech,ACC,14,234,391,59.8,3013,7.7,7.5,19,10,135.5,153,469,3.1,11
39,Nick Lamaison\nick-lamaison-1,UTEP,CUSA,9,130,224,58.0,1718,7.7,6.7,12,10,131.2,40,39,1.0,1
40,James Franklin*\james-franklin-1,Missouri,Big 12,13,238,376,63.3,2865,7.6,7.4,21,11,139.9,217,981,4.5,15
41,Marshall Lobbestael\marshall-lobbestael-1,Washington State,Pac-12,11,208,341,61.0,2584,7.6,7.6,19,8,138.3,42,-103,-2.5,1
42,Alex Gillett\alex-gillett-1,Eastern Michigan,MAC,12,109,198,55.1,1504,7.6,7.4,14,7,135.1,169,736,4.4,3
43,Ryan Aplin*\ryan-aplin-1,Arkansas State,Sun Belt,13,304,476,63.9,3588,7.5,6.8,19,16,133.6,161,588,3.7,10
44,J.J. McDermott*\jj-mcdermott-1,SMU,CUSA,13,272,455,59.8,3421,7.5,6.7,17,16,128.2,40,-123,-3.1,1
45,Matt Faulkner\matt-faulkner-1,San Jose State,WAC,11,274,422,64.9,3149,7.5,6.7,13,13,131.6,32,-77,-2.4,0
46,James Vandenberg*\james-vandenberg-1,Iowa,Big Ten,13,237,404,58.7,3022,7.5,7.9,25,7,138.5,78,61,0.8,3
47,Austin Davis*\austin-davis-1,Southern Mississippi,CUSA,14,286,475,60.2,3496,7.4,7.6,30,11,138.2,110,352,3.2,4
48,Zach Maynard*\zach-maynard-1,California,Pac-12,13,231,405,57.0,2990,7.4,6.9,17,12,127.0,84,108,1.3,4
49,Ryan Radcliff\ryan-radcliff-1,Central Michigan,MAC,12,257,453,56.7,3286,7.3,6.8,25,16,128.8,30,-69,-2.3,0
50,Matt Schilz\matt-schilz-1,Bowling Green State,MAC,12,245,412,59.5,3024,7.3,7.3,28,13,137.2,51,-60,-1.2,0
51,Michael Rocco*\michael-rocco-1,Virginia,ACC,13,222,366,60.7,2671,7.3,6.5,13,12,127.1,40,20,0.5,2
52,Nathan Scheelhaase*\nathan-scheelhaase-1,Illinois,Big Ten,13,184,291,63.2,2110,7.3,6.9,13,8,133.4,191,624,3.3,6
53,Taylor Martinez*\taylor-martinez-1,Nebraska,Big Ten,13,162,288,56.3,2089,7.3,6.9,13,8,126.5,188,874,4.6,9
54,Wesley Carroll*\wesley-carroll-1,Florida International,Sun Belt,13,200,332,60.2,2374,7.2,7.5,14,4,131.8,38,-10,-0.3,0
55,Teddy Bridgewater*\teddy-bridgewater-1,Louisville,Big East,13,191,296,64.5,2129,7.2,6.3,14,12,132.4,89,66,0.7,4
56,Ryan Tannehill*\ryan-tannehill-1,Texas A&M,Big 12,13,327,531,61.6,3744,7.1,6.9,29,15,133.2,58,306,5.3,4
57,Ryan Lindley*\ryan-lindley-1,San Diego State,MWC,13,237,447,53.0,3153,7.1,7.3,23,8,125.7,18,-51,-2.8,0
58,Tanner Price*\tanner-price-1,Wake Forest,ACC,13,253,422,60.0,3017,7.1,7.5,20,6,132.8,78,-53,-0.7,1
59,B.J. Daniels\bj-daniels-1,South Florida,Big East,11,215,365,58.9,2604,7.1,7.0,13,7,126.7,132,601,4.6,6
60,Zach Collaros*\zach-collaros-1,Cincinnati,Big East,10,166,272,61.0,1940,7.1,6.6,15,10,131.8,84,234,2.8,8
61,Jordan Rodgers*\jordan-rodgers-1,Vanderbilt,SEC,13,108,216,50.0,1524,7.1,5.8,9,10,113.8,117,420,3.6,4
62,Sean Mannion\sean-mannion-1,Oregon State,Pac-12,12,305,473,64.5,3328,7.0,6.0,16,18,127.1,32,-190,-5.9,1
63,Tyler Hansen\tyler-hansen-1,Colorado,Pac-12,13,231,412,56.1,2883,7.0,6.8,20,11,125.5,81,115,1.4,3
64,Tommy Rees*\tommy-rees-1,Notre Dame,Ind,13,269,411,65.5,2871,7.0,6.4,20,14,133.4,31,-56,-1.8,0
65,Marqueis Gray\marqueis-gray-1,Minnesota,Big Ten,11,108,213,50.7,1495,7.0,6.1,8,8,114.5,199,966,4.9,6
66,Seth Doege\seth-doege-1,Texas Tech,Big 12,12,398,581,68.5,4004,6.9,7.1,28,10,138.9,54,46,0.9,4
67,Bryant Moniz\bryant-moniz-1,Hawaii,WAC,10,248,397,62.5,2733,6.9,7.4,22,5,136.1,81,293,3.6,8
68,Caleb Terbush*\caleb-terbush-1,Purdue,Big Ten,13,171,277,61.7,1905,6.9,6.8,13,6,130.7,83,219,2.6,1
69,Tino Sunseri*\tino-sunseri-1,Pitt,Big East,13,247,385,64.2,2616,6.8,6.0,10,11,124.1,154,86,0.6,4
70,Rakeem Cato*\rakeem-cato-1,Marshall,CUSA,13,182,304,59.9,2059,6.8,6.1,15,11,125.8,57,32,0.6,0
71,Jonathan Perry\jonathan-perry-1,UAB,CUSA,12,174,300,58.0,2042,6.8,6.3,10,8,120.8,92,294,3.2,3
72,Collin Klein*\collin-klein-1,Kansas State,Big 12,13,161,281,57.3,1918,6.8,6.8,13,6,125.6,317,1141,3.6,27
73,Matt McGloin*\matt-mcgloin-1,Penn State,Big Ten,12,125,231,54.1,1571,6.8,6.5,8,5,118.3,24,-12,-0.5,0
74,Gary Nova*\gary-nova-1,Rutgers,Big East,10,116,227,51.1,1553,6.8,6.0,11,9,116.6,23,-114,-5.0,0
75,Jon Hays*\jon-hays-1,Utah,Pac-12,11,120,214,56.1,1459,6.8,6.3,12,8,124.4,61,-79,-1.3,0
76,Corey Robinson\corey-robinson-1,Troy,Sun Belt,12,316,508,62.2,3411,6.7,6.2,21,15,126.3,46,-78,-1.7,1
77,Mike Glennon*\mike-glennon-1,North Carolina State,ACC,13,283,453,62.5,3054,6.7,6.9,31,12,136.4,51,-110,-2.2,1
78,Sean Renfree\sean-renfree-1,Duke,ACC,12,282,434,65.0,2891,6.7,6.2,14,11,126.5,58,-58,-1.0,4
79,Jordan Webb\jordan-webb-1,Kansas,Big 12,12,179,281,63.7,1884,6.7,5.7,13,12,126.7,70,-86,-1.2,1
80,Kawaun Jakes\kawaun-jakes-1,Western Kentucky,Sun Belt,12,153,276,55.4,1854,6.7,5.5,10,12,115.1,72,161,2.2,2
81,Dominique Davis\dominique-davis-1,East Carolina,CUSA,12,334,494,67.6,3225,6.5,5.8,25,19,131.5,93,172,1.8,5
82,Ryan Nassib\ryan-nassib-1,Syracuse,Big East,12,259,415,62.4,2685,6.5,6.6,22,9,129.9,65,39,0.6,2
83,Derek Thompson\derek-thompson-1,North Texas,Sun Belt,11,157,272,57.7,1759,6.5,6.3,11,6,121.0,50,113,2.3,3
84,Brett Smith*\brett-smith-1,Wyoming,MWC,13,253,415,61.0,2622,6.3,6.1,20,11,124.6,139,710,5.1,10
85,Johnny McEntee\johnny-mcentee-1,Connecticut,Big East,12,172,335,51.3,2110,6.3,5.9,12,8,111.3,55,-148,-2.7,0
86,B.R. Holbrook\br-holbrook-1,New Mexico,MWC,11,141,236,59.7,1490,6.3,5.3,4,7,112.4,60,93,1.6,1
87,Keith Wenning\keith-wenning-1,Ball State,MAC,12,287,449,63.9,2786,6.2,5.9,19,11,125.1,57,182,3.2,3
88,Chase Rettig\chase-rettig-1,Boston College,ACC,12,170,317,53.6,1960,6.2,5.7,12,9,112.4,41,-84,-2.0,1
89,Danny O'Brien\danny-obrien-1,Maryland,ACC,9,150,266,56.4,1648,6.2,5.0,7,10,109.6,33,57,1.7,2
90,Pete Thomas\pete-thomas-1,Colorado State,MWC,9,161,261,61.7,1607,6.2,5.3,7,8,116.1,56,-36,-0.6,3
91,Ryan Griffin\ryan-griffin-2,Tulane,CUSA,13,227,408,55.6,2502,6.1,5.7,13,10,112.8,50,-10,-0.2,0
92,Logan Kilgore\logan-kilgore-1,Middle Tennessee State,Sun Belt,11,214,365,58.6,2231,6.1,5.6,18,12,119.7,32,106,3.3,1
93,Chazz Anderson\chazz-anderson-1,Buffalo,MAC,12,230,406,56.7,2454,6.0,5.6,11,9,111.9,85,309,3.6,7
94,Kolton Browning\kolton-browning-1,Louisiana-Monroe,Sun Belt,12,244,419,58.2,2483,5.9,5.7,13,8,114.4,143,443,3.1,5
95,Taylor Reed\taylor-reed-2,Memphis,CUSA,11,169,295,57.3,1690,5.7,5.8,10,4,113.9,69,77,1.1,2
96,Nick Isham*\nick-isham-1,Louisiana Tech,WAC,10,155,257,60.3,1457,5.7,5.1,8,7,112.8,49,-19,-0.4,2
97,Brian Reader\brian-reader-1,Idaho,WAC,11,192,354,54.2,1974,5.6,4.6,10,12,103.6,48,-18,-0.4,0
98,Clayton Moore\clayton-moore-1,Akron,MAC,12,147,309,47.6,1655,5.4,4.6,9,9,96.3,91,132,1.5,1
99,Spencer Keith\spencer-keith-1,Kent State,MAC,12,166,325,51.1,1682,5.2,4.7,11,8,100.8,59,49,0.8,3
100,Graham Wilbert\graham-wilbert-1,Florida Atlantic,Sun Belt,11,154,294,52.4,1459,5.0,3.1,7,15,91.7,31,-144,-4.6,0
101,Caleb Herring\caleb-herring-1,UNLV,MWC,10,113,206,54.9,1004,4.9,4.3,8,6,102.8,86,119,1.4,2
